SourceFile,EXIF_BitsPerSample,XMP_BitsPerSample
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2023-6406.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2024-27.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2024-27_Verso.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2025-1137-1.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/2025-1137-1_origneg.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/59-72-43.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/66-3093.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/67-1338.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/67-7850A.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/67-7850A_Verso.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/68-1578.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/68-1578_Verso.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/68-1596.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/68-1788.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/68-1788_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-1054.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-1054_Verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-1062.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-1062_Verso.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-3959.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-3959_Verso.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-3982.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/70-570.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/72-1847.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/72-1847_Verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/74-267.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/74-267_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/74-268.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/74-268_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/74-269.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Five/74-269_verso.tif,8 8 8,
